data,temperatura_c,umidade_relativa
2023-03-01,28.5,75
2023-03-02,30.1,80
2023-03-03,27.9,70
2023-03-04,29.2,72
2023-03-05,31.0,85
2023-03-06,26.5,65
2023-03-07,28.8,74
2023-03-08,30.5,78
2023-03-09,27.2,68
2023-03-10,29.9,73
2023-03-11,32.1,82
2023-03-12,28.4,71
2023-03-13,27.6,69
2023-03-14,30.8,77
2023-03-15,29.4,75
2023-03-16,31.2,80
2023-03-17,26.9,64
2023-03-18,28.1,72
2023-03-19,30.3,79
2023-03-20,27.5,67
2023-03-21,29.0,74
2023-03-22,31.5,83
2023-03-23,28.7,70
2023-03-24,26.8,65
2023-03-25,30.0,76
2023-03-26,29.5,75
2023-03-27,31.8,81
2023-03-28,27.4,66
2023-03-29,28.9,73
2023-03-30,30.6,78
2023-03-31,27.1,69
2023-04-01,29.7,72
2023-04-02,32.0,84
2023-04-03,28.3,71
2023-04-04,26.6,64
2023-04-05,30.2,77
2023-04-06,29.1,74
2023-04-07,31.4,82
2023-04-08,27.8,68
2023-04-09,28.5,73
2023-04-10,30.9,79
2023-04-11,27.3,67
2023-04-12,29.4,75
2023-04-13,31.7,81
2023-04-14,28.0,70
2023-04-15,26.7,65
2023-04-16,30.4,76
2023-04-17,29.8,75
2023-04-18,32.2,83
2023-04-19,27.6,66
