produto;quantidade;preco_unitario
Monitor;32;799.90
Teclado;12;120.50
Mouse;45;50.00
Webcam;8;250.00
Monitor;15;799.90
Mouse;22;50.00
Teclado;30;120.50
Webcam;19;250.00
Monitor;41;799.90
Teclado;5;120.50
Mouse;50;50.00
Webcam;14;250.00
Monitor;10;799.90
Mouse;33;50.00
Teclado;27;120.50
Webcam;2;250.00
Monitor;28;799.90
Teclado;18;120.50
Mouse;10;50.00
Webcam;25;250.00
Monitor;3;799.90
Mouse;44;50.00
Teclado;12;120.50
Webcam;31;250.00
Monitor;19;799.90
Teclado;24;120.50
Mouse;15;50.00
Webcam;50;250.00
Monitor;8;799.90
Mouse;37;50.00
Teclado;9;120.50
Webcam;21;250.00
Monitor;45;799.90
Teclado;11;120.50
Mouse;29;50.00
Webcam;40;250.00
Monitor;12;799.90
Mouse;18;50.00
Teclado;35;120.50
Webcam;6;250.00
Monitor;21;799.90
Teclado;40;120.50
Mouse;2;50.00
Webcam;13;250.00
Monitor;34;799.90
Mouse;26;50.00
Teclado;17;120.50
Webcam;44;250.00
Monitor;25;799.90
Teclado;48;120.50
Mouse;31;50.00
Webcam;9;250.00
Monitor;7;799.90
Mouse;14;50.00
Teclado;22;120.50
Webcam;36;250.00
Monitor;50;799.90
Teclado;33;120.50
Mouse;19;50.00
Webcam;28;250.00
Monitor;16;799.90
Mouse;4;50.00
Teclado;42;120.50
Webcam;3;250.00
Monitor;39;799.90
Teclado;15;120.50
Mouse;47;50.00
Webcam;22;250.00
Monitor;2;799.90
Mouse;36;50.00
Teclado;29;120.50
Webcam;11;250.00
Monitor;14;799.90
Teclado;21;120.50
Mouse;23;50.00
Webcam;47;250.00
Monitor;30;799.90
Mouse;8;50.00
Teclado;45;120.50
Webcam;34;250.00
Monitor;11;799.90
Teclado;26;120.50
Mouse;38;50.00
Webcam;5;250.00
Monitor;48;799.90
Mouse;12;50.00
Teclado;19;120.50
Webcam;42;250.00
Monitor;6;799.90
Teclado;31;120.50
Mouse;41;50.00
Webcam;27;250.00
Monitor;42;799.90
Mouse;16;50.00
Teclado;4;120.50
Webcam;49;250.00
Monitor;18;799.90
Teclado;37;120.50
Mouse;25;50.00
Webcam;10;250.00
