produto;quantidade;preco_unitario
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Monitor;12;799.90
Teclado;30;120.50
Mouse;45;50.00
Webcam;20;250.00
Monitor;8;799.90
Teclado;22;120.50
Mouse;38;50.00
Webcam;12;250.00
Monitor;15;799.90
Teclado;28;120.50
Mouse;50;50.00
Webcam;18;250.00
Monitor;9;799.90
Teclado;20;120.50
Mouse;35;50.00
Webcam;10;250.00
Monitor;11;799.90
Teclado;26;120.50
Mouse;42;50.00
Webcam;16;250.00
Monitor;14;799.90
Teclado;32;120.50
Mouse;48;50.00
Webcam;22;250.00
Monitor;7;799.90
Teclado;18;120.50
Mouse;30;50.00
Webcam;8;250.00
Monitor;13;799.90
Teclado;24;120.50
Mouse;41;50.00
Webcam;14;250.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Monitor;16;799.90
Teclado;35;120.50
Mouse;55;50.00
Webcam;25;250.00
Monitor;6;799.90
Teclado;15;120.50
Mouse;25;50.00
Webcam;5;250.00
Monitor;20;799.90
Teclado;40;120.50
